Obs,Category,Liquidity,Profitability,Activity
1,1,0.90,0.34,1.53
2,1,0.88,0.23,1.67
3,1,0.92,0.28,1.43
4,1,0.89,0.14,1.24
5,1,0.78,0.35,1.80
6,1,0.81,0.26,2.01
7,1,0.72,0.18,1.75
8,1,0.93,0.22,0.99
9,1,0.82,0.26,1.40
10,1,0.86,0.31,1.42
11,1,0.76,0.41,1.45
12,1,0.72,0.14,2.12
13,1,0.86,0.24,2.29
14,1,0.85,0.19,1.23
15,1,0.9,0.27,1.28
16,1,0.76,0.29,1.76
17,1,0.93,0.27,1.49
18,1,0.71,0.24,1.37
19,1,0.96,0.43,1.36
20,1,0.71,0.16,1.57
21,1,0.86,0.15,1.65
22,1,0.85,0.3,1.22
23,1,0.72,0.28,1.54
24,1,0.75,0.25,1.58
25,1,0.97,0.28,1.43
26,1,0.95,0.22,1.22
27,1,0.87,0.34,1.22
28,1,0.81,0.31,1.27
29,1,0.74,0.14,1.38
30,1,0.9,0.29,2.1
31,1,0.79,0.12,1.22
32,1,0.81,0.29,1.31
33,1,0.79,0.28,1.58
34,1,0.88,0.26,1.48
35,1,0.89,0.16,1.82
36,1,0.79,0.18,1.27
37,1,0.88,0.26,1.7
38,1,0.85,0.37,1.55
39,1,1,0.24,1.2
40,1,0.86,0.4,1.59
41,1,0.91,0.36,1.02
42,1,0.91,0.16,0.96
43,1,0.85,0.24,2.17
44,1,0.89,0.13,1.51
45,1,0.86,0.21,1.29
46,1,0.96,0.23,1.06
47,1,0.79,0.19,1.83
48,1,0.87,0.11,1.86
49,1,0.87,0.23,1.56
50,2,0.68,0.19,1.23
51,2,0.56,0.2,1.87
52,2,0.72,0.25,1.05
53,2,0.75,0.18,1.53
54,2,0.77,0.2,1.26
55,2,0.75,0.2,1.79
56,2,0.61,0.17,1.27
57,2,0.58,0.19,1.68
58,2,0.74,0.18,1.57
59,2,0.63,0.16,1.3
60,2,0.75,0.23,1.29
61,2,0.67,0.23,1.11
62,2,0.7,0.24,1.23
63,2,0.74,0.17,1.09
64,2,0.68,0.3,1.49
65,2,0.75,0.26,1.62
66,2,0.74,0.18,1.34
67,2,0.75,0.19,1.08
68,2,0.68,0.17,1.36
69,2,0.5,0.11,1.18
70,2,0.8,0.23,1.13
71,2,0.61,0.17,0.98
72,2,0.62,0.21,0.92
73,2,0.69,0.13,1.65
74,2,0.79,0.25,1.2
75,2,0.94,0.23,1.77
76,2,0.82,0.23,1.7
77,2,0.71,0.19,1.45
78,2,0.69,0.29,1.16
79,2,0.73,0.25,1.81
80,2,0.67,0.15,1.1
81,2,0.78,0.15,1.52
82,2,0.74,0.16,1.6
83,2,0.87,0.1,1.21
84,2,0.69,0.26,1.74
85,2,0.82,0.17,1.55
86,2,0.62,0.23,1.47
87,2,0.6,0.15,1.53
88,2,0.63,0.19,1.03
89,2,0.76,0.26,1.33
90,2,0.78,0.26,1.34
91,2,0.78,0.27,1.67
92,2,0.72,0.18,1.53
93,2,0.69,0.16,1.20
94,2,0.63,0.15,0.88
95,2,0.58,0.22,1.42
96,2,0.81,0.18,1.59
97,2,0.67,0.21,1.21
98,2,0.65,0.16,1.37
